retailer,category,title,brand,currency,pack_content_g,price,price_per_kg,price_per_reference_serving,price_per_100g_protein,protein_grams_per_currency,cost_per_serving,cost_per_month,cost_per_year,availability,url
bulk,whey_protein,Pure Whey Protein 5 kg,Bulk,GBP,5000.0,89.99,17.998,0.44995,2.3074358974358975,43.33814868318702,0.53994,16.1982,197.0781,in_stock,https://www.bulk.com/pure-whey-5kg
protein_works,whey_protein,Whey Protein 80 4 kg,The Protein Works,GBP,4000.0,74.99,18.7475,0.4686875,2.3434375,42.672356314175225,0.4686875,14.060625,171.0709375,in_stock,https://www.theproteinworks.com/whey-80-4kg
myprotein,whey_protein,Impact Whey Protein 5 kg,MyProtein,GBP,5000.0,99.99,19.998,0.49995,2.438780487804878,41.004100410041005,0.49995,14.9985,182.48175,in_stock,https://www.myprotein.com/impact-whey-5kg
bulk,whey_protein,Pure Whey Protein 2.5 kg,Bulk,GBP,2500.0,49.99,19.996,0.4999,2.5635897435897435,39.00780156031206,0.59988,17.9964,218.9562,in_stock,https://www.bulk.com/pure-whey-2500g
protein_works,whey_protein,Whey Protein 80 1 kg,The Protein Works,GBP,1000.0,21.99,21.99,0.54975,2.74875,36.38017280582083,0.54975,16.4925,200.65875,in_stock,https://www.theproteinworks.com/whey-80-1kg
myprotein,whey_protein,Impact Whey Protein 2.5 kg,MyProtein,GBP,2500.0,54.99,21.996,0.5499,2.7495,36.37024913620658,0.5499,16.497,200.7135,in_stock,https://www.myprotein.com/impact-whey-2500g
bodyworld,whey_protein,BodyWorld Whey 4000 g,BodyWorld,EUR,4000.0,84.9,21.225,0.530625,2.83,35.3356890459364,0.63675,19.1025,232.41375,in_stock,https://www.bodyworld.sk/whey-4000g
gymbeam,whey_protein,GymBeam 100% Whey 5000 g,GymBeam,EUR,5000.0,99.9,19.98,0.4995,2.854285714285714,35.03503503503504,0.5994,17.982,218.781,in_stock,https://gymbeam.sk/whey-5000g
aktin,whey_protein,Aktin Whey Protein 2000 g,Aktin,EUR,2000.0,42.9,21.45,0.53625,2.8986486486486487,34.4988344988345,0.6435,19.305,234.8775,in_stock,https://aktin.sk/whey-2000g
bulk,whey_protein,Pure Whey Protein 1 kg,Bulk,GBP,1000.0,22.99,22.99,0.57475,2.9474358974358976,33.927794693344936,0.6897,20.691,251.7405,in_stock,https://www.bulk.com/pure-whey-1kg
gymbeam,whey_protein,GymBeam True Whey 2500 g,GymBeam,EUR,2500.0,54.9,21.96,0.549,3.05,32.78688524590164,0.6588,19.764,240.462,in_stock,https://gymbeam.sk/true-whey-2500g
prozis,whey_protein,100% Real Whey Protein 2000 g,Prozis,EUR,2000.0,46.99,23.495,0.587375,3.091447368421053,32.34730793785912,0.70485,21.1455,257.27025,in_stock,https://www.prozis.com/real-whey-2000g
aktin,whey_protein,Aktin Whey Protein 1000 g,Aktin,EUR,1000.0,22.9,22.9,0.5725,3.0945945945945947,32.314410480349345,0.687,20.61,250.755,in_stock,https://aktin.sk/whey-1000g
bodyworld,whey_protein,BodyWorld Whey 1000 g,BodyWorld,EUR,1000.0,23.5,23.5,0.5875,3.1333333333333333,31.914893617021278,0.705,21.15,257.325,in_stock,https://www.bodyworld.sk/whey-1000g
fitness_authority,whey_protein,FA Whey Protein 2000 g,Fitness Authority,EUR,2000.0,45.9,22.95,0.57375,3.143835616438356,31.808278867102395,0.6885,20.655,251.3025,in_stock,https://www.faonline.eu/whey-2000g
amazon_de,whey_protein,ESN Designer Whey 2500 g,Amazon Germany,EUR,2500.0,59.99,23.996,0.5999,3.1573684210526314,31.671945324220705,0.71988,21.5964,262.7562,in_stock,https://www.amazon.de/esn-whey-2500g
sportnahrung_engel,whey_protein,Engel Whey Protein 2500 g,Sportnahrung Engel,EUR,2500.0,58.9,23.56,0.589,3.1837837837837837,31.40916808149406,0.7068,21.204,257.982,in_stock,https://www.sportnahrung-engel.de/whey-2500g
scitec,whey_protein,100% Whey Protein Professional 2350 g,Scitec Nutrition,EUR,2350.0,54.9,23.361702127659573,0.5840425531914893,3.24468085106383,30.81967213114754,0.7008510638297872,21.025531914893616,255.81063829787234,in_stock,https://scitecnutrition.com/whey-pro-2350g
prozis,whey_protein,100% Real Whey Protein 1000 g,Prozis,EUR,1000.0,25.99,25.99,0.64975,3.419736842105263,29.242016160061564,0.7797,23.391,284.5905,in_stock,https://www.prozis.com/real-whey-1000g
gymbeam,whey_protein,GymBeam True Whey 1000 g,GymBeam,EUR,1000.0,24.9,24.9,0.6225,3.4583333333333335,28.91566265060241,0.747,22.41,272.655,in_stock,https://gymbeam.sk/true-whey-1000g
nutrend,whey_protein,Nutrend Whey Protein 2250 g,Nutrend,EUR,2250.0,56.9,25.288888888888888,0.6322222222222222,3.4642313546423136,28.866432337434095,0.7586666666666667,22.76,276.91333333333336,in_stock,https://www.nutrend.cz/whey-2250g
fitness_authority,whey_protein,FA Whey Protein 900 g,Fitness Authority,EUR,900.0,22.9,25.444444444444443,0.6361111111111111,3.4855403348554033,28.689956331877728,0.7633333333333333,22.9,278.6166666666667,in_stock,https://www.faonline.eu/whey-900g
sportnahrung_engel,whey_protein,Engel Whey Protein 1000 g,Sportnahrung Engel,EUR,1000.0,25.9,25.9,0.6475,3.5,28.571428571428573,0.777,23.31,283.605,in_stock,https://www.sportnahrung-engel.de/whey-1000g
amazon_de,whey_protein,ESN Designer Whey 1000 g,Amazon Germany,EUR,1000.0,26.99,26.99,0.67475,3.5513157894736844,28.15857725083364,0.8097,24.291,295.5405,in_stock,https://www.amazon.de/esn-whey-1000g
biotechusa,whey_protein,100% Pure Whey 2270 g,BioTechUSA,EUR,2270.0,57.9,25.506607929515418,0.6376651982378855,3.643801132787917,27.443868739205527,0.7141850220264317,21.42555066079295,260.6775330396476,in_stock,https://shop.biotechusa.com/pure-whey-2270g
nutrend,whey_protein,Nutrend Whey Protein 1000 g,Nutrend,EUR,1000.0,26.9,26.9,0.6725,3.684931506849315,27.13754646840149,0.807,24.21,294.555,in_stock,https://www.nutrend.cz/whey-1000g
scitec,whey_protein,100% Whey Protein Professional 920 g,Scitec Nutrition,EUR,920.0,24.9,27.065217391304348,0.6766304347826086,3.7590579710144927,26.602409638554217,0.8119565217391305,24.358695652173914,296.3641304347826,in_stock,https://scitecnutrition.com/whey-pro-920g
biotechusa,whey_protein,100% Pure Whey 1000 g,BioTechUSA,EUR,1000.0,27.9,27.9,0.6975,3.9857142857142858,25.089605734767026,0.7812,23.436,285.138,in_stock,https://shop.biotechusa.com/pure-whey-1000g
amazon_pl,whey_protein,Olimp Whey Protein Complex 2270 g,Amazon Poland,PLN,2270.0,159.0,70.04405286343612,1.751101321585903,9.72834067547724,10.279245283018868,2.101321585903084,63.03964757709251,766.9823788546255,in_stock,https://www.amazon.pl/olimp-whey-2270g
amazon_pl,whey_protein,Olimp Whey Protein Complex 1800 g,Amazon Poland,PLN,1800.0,129.0,71.66666666666667,1.7916666666666667,9.953703703703704,10.046511627906977,2.15,64.5,784.75,in_stock,https://www.amazon.pl/olimp-whey-1800g
