retailer,category,title,brand,currency,pack_content_g,price,price_per_kg,price_per_reference_serving,price_per_100g_protein,protein_grams_per_currency,cost_per_serving,cost_per_month,cost_per_year,availability,url
gymbeam,creatine_monohydrate,100% Mikronizovaný kreatín monohydrát 1500 g - zelené jablko - 01,GymBeam,EUR,1500.0,33.95,22.633333333333333,0.5658333333333333,,,,,,in_stock,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html
gymbeam,creatine_monohydrate,100% Mikronizovaný kreatín monohydrát 1000 g - zelené jablko - 01,GymBeam,EUR,1000.0,23.95,23.95,0.59875,,,,,,in_stock,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html
gymbeam,creatine_monohydrate,100% Mikronizovaný kreatín monohydrát 750 g - zelené jablko - 01,GymBeam,EUR,750.0,18.5,24.666666666666668,0.6166666666666667,,,,,,in_stock,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 1kg,Bulk,GBP,1000.0,24.99,24.99,0.62475,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
gymbeam,creatine_monohydrate,Creatine Monohydrate - GoNutrition bez príchute - 500 g,GymBeam,EUR,500.0,12.95,25.9,0.6475,,,,,,out_of_stock,https://gymbeam.sk/creatine-monohydrate-gonutrition.html
gymbeam,creatine_monohydrate,100% Mikronizovaný kreatín monohydrát 500 g - zelené jablko - 01,GymBeam,EUR,500.0,12.95,25.9,0.6475,,,,,,in_stock,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 500g,Bulk,GBP,500.0,12.99,25.98,0.6495,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 250g,Bulk,GBP,250.0,7.49,29.96,0.749,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
gymbeam,creatine_monohydrate,100% Mikronizovaný kreatín monohydrát 250 g - zelené jablko - 01,GymBeam,EUR,250.0,7.5,30.0,0.75,,,,,,in_stock,https://gymbeam.sk/kreatin-monohydrate-gymbeam.html
aktin,creatine_monohydrate,Kreatín Monohydrát,,EUR,500.0,15.29,30.58,0.7645,,,,,,in_stock,https://aktin.sk/vilgain-kreatin
gymbeam,creatine_monohydrate,Kreatín Pure monohydrát - Bodylab 400 g,GymBeam,EUR,400.0,12.5,31.25,0.78125,,,,,,out_of_stock,https://gymbeam.sk/creatine-pure-monohydrate-bodylab.html
gymbeam,creatine_monohydrate,Kreatín Monohydrát  - Bodylab24 500 g,GymBeam,EUR,500.0,16.95,33.9,0.8475,,,,,,out_of_stock,https://gymbeam.sk/kreatin-monohydrat-bodylab24.html
gymbeam,creatine_monohydrate,Creatine Monohydrate - Amix 1000 g,GymBeam,EUR,1000.0,33.95,33.95,0.84875,,,,,,in_stock,https://gymbeam.sk/creatine-monohydrate-amix.html
aktin,creatine_monohydrate,Kreatín Monohydrát,,EUR,500.0,17.28,34.56,0.864,,,,,,in_stock,https://aktin.sk/vilgain-kreatin/mango-a-pomaranc-500-g-45659
gymbeam,creatine_monohydrate,Creatine Monohydrate - Amix 500 g,GymBeam,EUR,500.0,18.5,37.0,0.925,,,,,,in_stock,https://gymbeam.sk/creatine-monohydrate-amix.html
aktin,creatine_monohydrate,Kreatín Monohydrát,,EUR,300.0,11.49,38.3,0.9575,,,,,,in_stock,https://aktin.sk/vilgain-kreatin/bez-prichute-300-g-46888
gymbeam,creatine_monohydrate,Kreatín monohydrát - Redcon1 300 g,GymBeam,EUR,300.0,13.95,46.5,1.1625,,,,,,out_of_stock,https://gymbeam.sk/kreatin-monohydrat-redcon1.html
gymbeam,creatine_monohydrate,Creatine Monohydrate - Amix 300 g,GymBeam,EUR,300.0,14.95,49.833333333333336,1.2458333333333333,,,,,,in_stock,https://gymbeam.sk/creatine-monohydrate-amix.html
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 100g,Bulk,GBP,100.0,4.99,49.9,1.2475,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
gymbeam,creatine_monohydrate,Kreatín monohydrát Creapure® - Nutrend 500 g - bez príchute,GymBeam,EUR,500.0,29.95,59.9,1.4975,,,,,,out_of_stock,https://gymbeam.sk/kreatin-monohydrat-creapure-nutrend.html
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Mixed Berry 1kg,Bulk,GBP,1000.0,74.99,74.99,1.87475,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
aktin,creatine_monohydrate,Kreatín Creapure® Monohydrát,,EUR,500.0,39.99,79.98,1.9995,,,,,,in_stock,https://aktin.sk/vilgain-kreatin-creapure-r
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Unflavoured 500g,Bulk,GBP,500.0,39.99,79.98,1.9995,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
aktin,creatine_monohydrate,Kreatín Creapure® Monohydrát,,EUR,300.0,27.99,93.3,2.3325,,,,,,in_stock,https://aktin.sk/vilgain-kreatin-creapure-r/bez-prichute-300-g-35577
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Unflavoured 100g,Bulk,GBP,100.0,9.99,99.9,2.4975,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
aktin,creatine_monohydrate,Kreatín Creapure® Monohydrát,,EUR,100.0,14.99,149.9,3.7475,,,,,,in_stock,https://aktin.sk/vilgain-kreatin-creapure-r/bez-prichute-100-g-20-x-5-g-46409
